# Gulf Arabic curated lexicon — category: adjectives
# columns: text<TAB>freq(200-255)
حلو	250
حلوه	244
حلوين	224
مره حلو	236
وايد حلو	228
مو حلو	224
زينه	234
زينين	220
مو زين	236
مب زين	226
كشخه	240
مكشخ	222
خقه	238
يخبل	240
تخبل	228
خيال	234
خرافي	236
اسطوري	224
فخم	230
فخمه	218
يجنن	240
تجنن	228
رهيب	240
رهيبه	226
روعه	234
ممتاز	230
ممتازه	218
عجيب	234
عجيبه	220
غريب	228
غريبه	224
خطير	232
كفو	246
فله	240
عدل	238
مو عدل	224
مضبوط	228
واضح	224
مو واضح	218
تعبان	244
تعبانه	230
مره تعبان	222
طفران	226
طفشان	232
طفشانه	218
طفش	238
ملل	224
ممل	232
ممله	220
جوعان	238
جوعانه	220
عطشان	226
شبعان	222
مبسوط	236
مبسوطه	222
منبسط	224
فرحان	230
فرحانه	218
مستانس	234
مستانسه	220
زعلان	234
زعلانه	222
معصب	236
معصبه	220
مقهور	228
محبط	224
متضايق	230
متضايقه	218
مشغول	240
مشغوله	226
مشغولين	218
فاضي	236
فاضيه	222
قريب	230
قريبه	218
بعيد	228
سهل	228
سهله	218
صعب	234
صعبه	224
مره صعب	220
غالي	234
غاليه	220
رخيص	226
كبير	232
كبيره	222
صغير	230
صغيره	220
عود	226
جديد	236
جديده	224
قديم	224
نظيف	224
وسخ	218
مرتب	222
حار	232
حاره	222
بارد	230
بارده	220
مغبر	224
دافي	218
لذيذ	234
لذيذه	224
شين	238
شينه	222
خايس	224
طيبه	224
طيبين	218
شاطر	224
فاهم	226
فاهمه	218
مو فاهم	222
متأكد	228
متأكده	218
مو متأكد	220
جاهز	234
جاهزه	224
جاهزين	226
مو جاهز	216
مريض	230
مريضه	220
صاحي	226
سهران	228
سهرانه	218
سهرانين	220
مشتاق	238
مشتاقه	226
مشتاقين	222
مشتاق لك	224
قوي	226
قويه	218
ضعيف	220
سريع	224
طويل	226
طويله	218
قصير	222
حليله	238
حليلك	226
حليلها	218
مسكين	230
مسكينه	220
غشيم	218
متحمس	226
محتار	226
مصدوم	224
خربان	228
خربانه	218
عطلان	222
مستعجل	230
مستعجله	218
باين	226
باين عليك	220
غثيث	226
مطنش	222
مزيون	226
مزيونه	222
حبوب	228
حبوبه	218
دلوعه	224
هادي	220
نشيط	218
كسلان	224
مكسل	226
سنع	228
مو سنع	218
يا حليلك	224
