# Egyptian Arabic curated lexicon — category: people
# columns: text<TAB>freq(200-255)
حبيبي	254
ماما	248
حبيبتي	246
بابا	246
يا عم	244
حضرتك	242
يا جماعة	240
باشا	240
صاحبي	240
يا حبيبي	240
يا باشا	238
افندم	238
اخويا	238
امي	238
الناس	236
اختي	236
حياتي	236
يا ناس	234
الراجل	234
صحابي	234
يا ريس	232
يا شباب	232
ابويا	232
البنت	232
قلبي	232
يا قمر	232
حبيبى	232
الواد	230
يابني	230
اهلي	230
يا قلبي	230
اصحابي	230
دكتور	232
استاذ	230
ريس	230
يا حبيبتي	228
راجل	228
ناس	228
مراتي	228
يا معلم	228
يا جميل	228
بنتي	228
يا شيخ	228
العيال	228
صاحبتي	228
ابني	226
الست	226
جوزي	226
طنط	226
بيه	226
يا كبير	226
حبيب قلبي	226
بنات	226
يا عسل	226
شباب	226
عم	226
يا صاحبي	226
معلم	226
يا افندم	224
عمري	224
ولادي	224
يا غالي	224
الحاج	224
يا بنت	224
كابتن	224
الولد	224
خالتي	224
برنس	224
بطل	222
يا واد	222
خالي	222
ولاد	222
العيلة	222
اخوك	222
يا بني	222
باشمهندس	222
يا حياتي	220
امك	220
اهلك	220
مامتي	220
يا حاج	220
رجالة	220
يا عمي	220
دكتورة	220
مهندس	220
يا استاذ	220
يا بنات	220
يا برنس	218
يا طنط	218
ابوك	218
ستات	218
تيتة	218
عمتي	218
واد	218
يا هندسة	218
الغالي	218
المدير	218
يا دكتور	218
اختك	216
يا عمري	216
يبني	216
عمو	216
يا روحي	216
مدرس	216
يا رجالة	216
ست	216
الحاجة	216
يا بطل	216
اخواتي	216
نور عيني	214
مدام	214
بت	214
عيل	214
بيبي	214
زميلي	214
الجيران	214
يا بنتي	214
يا شيخة	214
خطيبي	214
عروسة	214
يا حلو	214
استاذة	214
يا كابتن	212
خطيبتي	212
عريس	212
حماتي	212
زمايلي	212
جدو	212
نجم	212
البيبي	212
يا ست	212
يا نجم	210
انسة	210
المدام	210
جدي	210
ولادك	210
